What does a funambulist walk on?	A Tight Rope	Broken Glass	Balls	The Moon
On a dartboard, what number is directly opposite No. 1?	19	20	12	15
Which of these Marvel games was released on the Playstation 2?	Spider-Man 2	Silver Surfer	Howard the Duck	Wolverine: Adamantium Rage
Five dollars is worth how many nickles?	100	50	25	69
What kind of aircraft was developed by Igor Sikorsky in the United States in 1942?	Helicopter	Stealth Blimp	Jet	Space Capsule
According to Sherlock Holmes, "If you eliminate the impossible, whatever remains, however improbable, must be the..."	Truth	Answer	Cause	Source
Which country has the union jack in its flag?	New Zealand	South Africa	Canada	Hong Kong
Which sign of the zodiac is represented by the Crab?	Cancer	Libra	Virgo	Sagittarius
What is the nickname of the US state of California?	Golden State	Sunshine State	Bay State	Treasure State
Which of the following card games revolves around numbers and basic math?	Uno	Go Fish	Twister	Munchkin
How many colors are there in a rainbow?	7	8	9	10
In Half-Life, what is the name of the alien that attaches to heads?	Headcrab	Bullsquid	Vortigaunt	Facehugger
The Canadian $1 coin is colloquially known as a what?	Loonie	Boolie	Foolie	Moodie
When someone is cowardly, they are said to have what color belly?	Yellow	Green	Red	Blue
What is the closest planet to our solar system's sun?	Mercury	Mars	Jupiter	Earth
Who invented the first ever chocolate bar, in 1847?	Joseph Fry	Andrew Johnson	John Cadbury	John Tyler
If you are caught "Goldbricking", what are you doing wrong?	Slacking	Smoking	Stealing	Cheating
According to the nursery rhyme, what fruit did Little Jack Horner pull out of his Christmas pie?	Plum	Apple	Peach	Pear
What do the letters in the GMT time zone stand for?	Greenwich Mean Time	Global Meridian Time	General Median Time	Glasgow Man Time
When was the Playstation 3 released?	November 11, 2006	January 8, 2007	December 25, 2007	July 16, 2006
The New York Times slogan is, “All the News That’s Fit to…”	Print	Digest	Look	Read
Which one of these is not a typical European sword design?	Scimitar	Falchion	Ulfberht	Flamberge
What is the name of NASA’s most famous space telescope?	Hubble Space Telescope	Big Eye	Death Star	Millenium Falcon
In the video-game franchise Kingdom Hearts, the main protagonist, carries a weapon with what shape?	Key	Sword	Pen	Cellphone
Which sign of the zodiac comes between Virgo and Scorpio?	Libra	Gemini	Taurus	Capricorn
What is the name of the Jewish New Year?	Rosh Hashanah	Elul	New Year	Succoss
What nuts are used in the production of marzipan?	Almonds	Peanuts	Walnuts	Pistachios
Area 51 is located in which US state?	Nevada	Arizona	New Mexico	Utah
Waluigi's first appearance was in what game?	Mario Tennis 64 (N64)	Wario Land: Super Mario Land 3	Mario Party (N64)	Super Smash Bros. Ultimate
Which candy is NOT made by Mars?	Almond Joy	M&M's	Twix	Snickers
Terry Gilliam was an animator that worked with which British comedy group?	Monty Python	The Goodies	The League of Gentlemen	The Penny Dreadfuls
What is Tasmania?	An Australian State	A flavor of Ben and Jerry's ice-cream	A Psychological Disorder	The Name of a Warner Brothers Cartoon Character
What company developed the vocaloid Hatsune Miku?	Crypton Future Media	Sega	Sony	Yamaha Corporation
The likeness of which president is featured on the rare $2 bill of USA currency?	Thomas Jefferson	Martin Van Buren	Ulysses Grant	John Quincy Adams
What was the name of the WWF professional wrestling tag team made up of the wrestlers Ax and Smash?	Demolition	The Dream Team	The Bushwhackers	The British Bulldogs
What was the nickname given to the Hughes H-4 Hercules, a heavy transport flying boat which achieved flight in 1947?	Spruce Goose	Noah's Ark	Fat Man	Trojan Horse
 Which chemical element, number 11 in the Periodic table, has the symbol Na?	Sodium	Carbon	Lead	Nitrogen
What is the name of the company in Lethal Company?	The Company	Planet Scrap Co.	Lethal Robotics	Gordian Shipping Co.
The drug cartel run by Pablo Escobar originated in which South American city?	Medellín	Bogotá	Quito	Cali
Foie gras is a French delicacy typically made from what part of a duck or goose?	Liver	Heart	Stomach	Intestines
In aerodynamics, which force pushes an object upwards?	Lift	Drag	Weight	Thrust
Which of the following presidents is not on Mount Rushmore?	John F. Kennedy	Theodore Roosevelt	Abraham Lincoln	Thomas Jefferson
What alcoholic drink is made from molasses?	Rum	Gin	Vodka	Whisky
Who is the author of Jurrasic Park?	Michael Crichton	Peter Benchley	Chuck Paluhniuk	Irvine Welsh
What word represents the letter 'T' in the NATO phonetic alphabet?	Tango	Target	Taxi	Turkey
Who is the youngest person to recieve a Nobel Prize?	Malala Yousafzai	Lawrence Bragg	Werner Heisenberg	Yasser Arafat
Which of the following is the IATA code for Manchester Airport?	MAN	EGLL	LHR	EGCC
In which fast food chain can you order a Jamocha Shake?	Arby's	McDonald's	Burger King	Wendy's
In past times, what would a gentleman keep in his fob pocket?	Watch	Money	Keys	Notebook
Red Vines is a brand of what type of candy?	Licorice	Lollipop	Chocolate	Bubblegum
What is the famous Papa John's last name?	Schnatter	Chowder	Williams	ANDERSON
What is the profession of Elon Musk's mom, Maye Musk?	Model	Professor	Biologist	Musician
When someone is inexperienced they are said to be what color?	Green	Red	Blue	Yellow
What is the French word for "fish"?	poisson	fiche	escargot	mer
Virgin Trains, Virgin Atlantic and Virgin Racing, are all companies owned by which famous entrepreneur?   	Richard Branson	Alan Sugar	Donald Trump	Bill Gates
Which of the following is not an Ivy League University?	Stanford	University of Pennsylvania	Harvard	Princeton
What is the French word for "hat"?	Chapeau	Bonnet	 Écharpe	 Casque
What is the official language of Brazil?	Portugese	Brazilian	Spanish	English
Which best selling toy of 1983 caused hysteria, resulting in riots breaking out in stores?	Cabbage Patch Kids	Transformers	Care Bears	Rubik’s Cube
Where is the train station "Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch"?	Wales	Moldova	Czech Republic	Denmark
How many furlongs are there in a mile?	Eight	Two	Four	Six
What geometric shape is generally used for stop signs?	Octagon	Hexagon	Circle	Triangle
What is "dabbing"?	A dance	A medical procedure	A sport	A language
Which restaurant's mascot is a clown?	McDonald's	Whataburger	Burger King	Sonic
How would one say goodbye in Spanish?	Adi&oacute;s	 Hola	Au Revoir	Salir
What is the first book of the Old Testament?	Genesis	Exodus	Leviticus	Numbers
What type of animal was Harambe, who was shot after a child fell into it's enclosure at the Cincinnati Zoo?	Gorilla	Tiger	Panda	Crocodile
Which American-owned brewery led the country in sales by volume in 2015?	D. G. Yuengling and Son, Inc	Anheuser Busch	Boston Beer Company	Miller Coors
When one is "envious", they are said to be what color?	Green	Red	Blue	Yellow
Who is depicted on the US hundred dollar bill?	Benjamin Franklin	George Washington	Abraham Lincoln	Thomas Jefferson
In DC comics where does the Green Arrow (Oliver Queen) live?	Star City	Central City	Gotham City	Metropolis
Which American president appears on a one dollar bill?	George Washington	Thomas Jefferson	Abraham Lincoln	Benjamin Franklin
What is the largest organ of the human body?	Skin	Heart	large Intestine	Liver
What are Panama hats made out of?	Straw	Silk	Hemp	Flax
What is the shape of the toy invented by Hungarian professor Ernő Rubik?	Cube	Sphere	Cylinder	Pyramid
What does VR stand for?	Virtual Reality	Very Real	Visual Recognition	Voice Recognition
What is the Spanish word for "donkey"?	Burro	Caballo	Toro	Perro
Which of the following blood component forms a plug at the site of injuries?	Platelets	Red blood cells	White blood cells	Blood plasma
What was the first ever London Underground line to be built?	Metropolitan Line	Circle Line	Bakerloo Line	Victoria Line
Which one of the following rhythm games was made by Harmonix?	Rock Band	Meat Beat Mania	Guitar Hero Live	Dance Dance Revolution
What is Cynophobia the fear of?	Dogs	Birds	Flying	Germs
Which company did Valve cooperate with in the creation of the Vive?	HTC	Oculus	Google	Razer
Which of these colours is NOT featured in the logo for Google?	Pink	Yellow	Blue	Green
Earth is located in which galaxy?	The Milky Way Galaxy	The Mars Galaxy	The Galaxy Note	The Black Hole
What is on display in the Madame Tussaud's museum in London?	Wax sculptures	Designer clothing	Unreleased film reels	Vintage cars
The “fairy” type made it’s debut in which generation of the Pokemon core series games?	6th	2nd	7th	4th
What machine element is located in the center of fidget spinners?	Bearings	Axles	Gears	Belts
What airline was the owner of the plane that crashed off the coast of Nova Scotia in 1998?	Swiss Air	Air France	British Airways	TWA
Which of the following is not the host of a program on NPR?	Ben Shapiro	Terry Gross	Ira Glass	Peter Sagal
What zodiac sign is represented by a pair of scales?	Libra	Aries	Capricorn	Sagittarius
The Flag of the European Union has how many stars on it?	12	10	14	16
What is the name of Poland in Polish?	Polska	Pupcia	Polszka	P&oacute;land
Which country, not including Japan, has the most people of japanese decent?	Brazil	China	South Korea	United States of America
What do the letters of the fast food chain KFC stand for?	Kentucky Fried Chicken	Kentucky Fresh Cheese	Kibbled Freaky Cow	Kiwi Food Cut
How tall is the Burj Khalifa?	2,722 ft	2,717 ft	2,546 ft	3,024 ft
What does the 'S' stand for in the abbreviation SIM, as in SIM card? 	Subscriber	Single	Secure	Solid
What is the Zodiac symbol for Gemini?	Twins	Fish	Scales	Maiden
What is the capital of Germany?	Berlin	Paris	Madrid	Rome
What is the largest country by area?	Russia	Canada	China	Brazil
Who developed the theory of relativity?	Einstein	Newton	Galileo	Tesla
Which element has the chemical symbol O?	Oxygen	Hydrogen	Nitrogen	Helium
What planet is closest to the Sun?	Mercury	Venus	Earth	Mars
What is the largest mammal?	Blue Whale	Elephant	Giraffe	Hippopotamus
What is the chemical symbol for iron?	Fe	Au	Ag	Pb
What is the boiling point of water in Celsius?	100	90	110	120
Which planet is known for its rings?	Saturn	Jupiter	Uranus	Neptune
What is the largest desert in the world?	Sahara	Gobi	Kalahari	Arctic
What is the square root of 64?	8	6	7	9
Who invented the telephone?	Bell	Edison	Marconi	Tesla
Which planet is known as the Blue Planet?	Earth	Mars	Neptune	Venus
What is the largest continent?	Asia	Africa	Europe	Antarctica
What is 12 * 12?	144	132	156	169
What is the chemical symbol for gold?	Au	Ag	Fe	Pb
What is the square root of 16?	4	2	3	5
What is the currency of Japan?	Yen	Won	Yuan	Baht
What is the largest planet in our solar system?	Jupiter	Saturn	Uranus	Neptune
What is the chemical symbol for silver?	Ag	Au	Pt	Pb
What is the most spoken language in the world?	Mandarin	English	Spanish	Hindi
What is the chemical symbol for sodium?	Na	K	S	Cl
What is 7 + 8?	15	14	16	17
What is the freezing point of water in Celsius?	0	-1	1	2
What is the largest island in the world?	Greenland	Australia	Madagascar	Borneo
What is the chemical symbol for potassium?	K	P	Ca	Mg
What is the national sport of Japan?	Sumo	Judo	Karate	Kendo
What is the primary language spoken in Brazil?	Portuguese	Spanish	English	French
What is the primary ingredient in guacamole?	Avocado	Tomato	Onion	Cilantro
What is the primary ingredient in bread?	Flour	Water	Yeast	Sugar
What is the primary ingredient in sushi?	Rice	Fish	Seaweed	Soy sauce
What is the main ingredient in hummus?	Chickpeas	Lentils	Beans	Peas
What is the most common blood type?	O+	A+	B+	AB+
What is the largest organ in the human body?	Skin	Liver	Heart	Lung
What is the hardest natural substance on Earth?	Diamond	Quartz	Corundum	Topaz
What is the smallest bone in the human body?	Stapes	Incus	Malleus	Femur
What is the chemical formula for water?	H2O	CO2	O2	N2
What is the main gas found in the air we breathe?	Nitrogen	Oxygen	Carbon Dioxide	Argon
What is the powerhouse of the cell?	Mitochondria	Nucleus	Ribosome	Lysosome
What is the main protein found in hair?	Keratin	Collagen	Elastin	Myosin
What is the answer to the ultimate question of life, the universe, and everything?	42	24	54	12
What is the longest bone in the human body?	Femur	Tibia	Fibula	Humerus
What is the main organ of the circulatory system?	Heart	Lungs	Liver	Kidney
What is the largest artery in the human body?	Aorta	Carotid	Femoral	Radial
What is the smallest unit of life?	Cell	Atom	Molecule	Organ
What is the most common element in the universe?	Hydrogen	Helium	Oxygen	Carbon
What is the second most abundant element in the Earth's crust?	Silicon	Oxygen	Aluminum	Iron
What is the most abundant gas in the Earth's atmosphere?	Nitrogen	Oxygen	Argon	Carbon Dioxide
What is the main gas that plants use for photosynthesis?	Carbon	Oxygen	Nitrogen	Hydrogen
What is the chemical symbol for lead?	Pb	Fe	Au	Ag
What is the hardest mineral on the Mohs scale?	Diamond	Corundum	Topaz	Quartz
What is the chemical formula for table salt?	NaCl	KCl	MgCl2	CaCl2
What is the chemical symbol for helium?	He	H	Li	Be
What is the process by which plants make food?	Photosynthesis	Respiration	Digestion	Fermentation
What is the chemical symbol for carbon dioxide?	CO2	CO	O2	H2O
What is the smallest planet in our solar system?	Mercury	Venus	Earth	Mars
What is the hottest planet in our solar system?	Venus	Mercury	Mars	Jupiter
What is the chemical symbol for nitrogen?	N	Ne	Ni	Na
What is the main component of natural gas?	Methane	Ethane	Propane	Butane
What is the chemical symbol for calcium?	Ca	Cl	C	Cu
What is the chemical formula for ammonia?	NH3	H2O	CO2	O2
What is the main component of limestone?	Calcite	Quartz	Feldspar	Mica
What is the chemical symbol for zinc?	Zn	Zr	Ze	Z
What is the most common element in the Earth's crust?	Oxygen	Silicon	Iron	Aluminum
What is the process by which water changes from a liquid to a gas?	Evaporation	Condensation	Sublimation	Precipitation
What is the main gas responsible for the greenhouse effect?	Carbon	Nitrogen	Oxygen	Helium
What is the main element used in pencil lead?	Carbon	Graphite	Silicon	Iron
What is the chemical symbol for hydrogen?	H	He	Hg	Hf
What is the process by which a solid turns directly into a gas?	Sublimation	Evaporation	Condensation	Deposition
What is the main element in diamonds?	Carbon	Silicon	Oxygen	Hydrogen
What is the most reactive metal?	Francium	Sodium	Potassium	Lithium
What is the chemical symbol for chlorine?	Cl	C	Ca	Cr
What is the main element used in batteries?	Lithium	Zinc	Nickel	Lead
What is the main element used in semiconductors?	Silicon	Germanium	Carbon	Tin
What is the most abundant metal in the Earth's crust?	Aluminum	Iron	Calcium	Sodium
What is the chemical symbol for magnesium?	Mg	Mn	Mo	Ma
What is the process by which plants release water vapor?	Transpiration	Respiration	Photosynthesis	Evaporation
What is the main gas in the Earth's stratosphere?	Ozone	Oxygen	Nitrogen	Argon
What is the chemical symbol for uranium?	U	Ur	Um	Un
What is the chemical symbol for sulfur?	S	Si	Se	Sb
What is the main element in steel?	Iron	Carbon	Nickel	Chromium
What is the chemical symbol for tin?	Sn	Ti	Te	Ta
What is the main gas in a helium balloon?	Helium	Hydrogen	Nitrogen	Oxygen
What is the process by which ice turns directly into water vapor?	Sublimation	Evaporation	Condensation	Freezing
What is the main element in quartz?	Silicon	Oxygen	Aluminum	Carbon
What is the most common isotope of hydrogen?	H	D	T	He
What is the main component of glass?	Silicon	Carbon	Oxygen	Aluminum
What is the chemical symbol for argon?	Ar	Ag	Au	Al
What is the process by which a gas turns into a liquid?	Condensation	Evaporation	Sublimation	Deposition
What is the main element in rust?	Iron	Copper	Zinc	Aluminum
Who is known as the father of modern physics?	Einstein	Newton	Galileo	Bohr
What is the capital of Brazil?	Brasilia	Rio	Sao Paulo	Salvador
Who painted the ceiling of the Sistine Chapel?	Michelangelo	Da Vinci	Raphael	Donatello
What is the primary ingredient in pesto sauce?	Basil	Tomato	Garlic	Olive
Who discovered penicillin?	Fleming	Pasteur	Koch	Jenner
What is the largest planet in the solar system?	Jupiter	Saturn	Neptune	Uranus
Who wrote 'The Great Gatsby'?	Fitzgerald	Hemingway	Faulkner	Steinbeck
What is the currency of Russia?	Ruble	Dollar	Euro	Yen
What is the longest river in Europe?	Volga	Danube	Rhine	Dnieper
What is the main ingredient in miso soup?	Miso	Tofu	Seaweed	Rice
Who invented the World Wide Web?	Berners-Lee	Gates	Jobs	Zuckerberg
What is the primary language spoken in Brazil?	Portuguese	Spanish	English	French
What is the smallest continent?	Australia	Europe	Antarctica	South America
Who painted 'The Birth of Venus'?	Botticelli	Da Vinci	Michelangelo	Raphael
What is the chemical symbol for helium?	He	H	Li	Be
Who discovered the structure of DNA?	Watson	Crick	Franklin	Mendel
What is the highest waterfall in the world?	Angel	Niagara	Victoria	Iguazu
Who is known as the father of modern chemistry?	Lavoisier	Mendeleev	Boyle	Dalton
What is the main ingredient in sauerkraut?	Cabbage	Carrot	Onion	Beet
Who wrote 'The Catcher in the Rye'?	Salinger	Hemingway	Fitzgerald	Steinbeck
What is the capital of Canada?	Ottawa	Toronto	Vancouver	Montreal
What is the largest organ in the human body?	Skin	Liver	Heart	Lung
Who painted 'Guernica'?	Picasso	Dali	Miro	Goya
What is the chemical symbol for potassium?	K	P	Ca	Mg
What is the largest island in the Mediterranean Sea?	Sicily	Crete	Cyprus	Sardinia
Who discovered the theory of evolution?	Darwin	Lamarck	Wallace	Mendel
What is the main ingredient in vodka?	Potato	Wheat	Barley	Corn
Who wrote 'The Old Man and the Sea'?	Hemingway	Faulkner	Fitzgerald	Steinbeck
What is the capital of Greece?	Athens	Sparta	Thessaloniki	Patras
What is the largest ocean on Earth?	Pacific	Atlantic	Indian	Arctic
Who invented the light bulb?	Edison	Tesla	Faraday	Volta
What is the smallest prime number?	2	3	5	1
What is the most abundant gas in the Earth's atmosphere?	Nitrogen	Oxygen	Argon	Carbon Dioxide
Who painted 'The Starry Night'?	Van Gogh	Monet	Renoir	Manet
What is the main ingredient in chocolate?	Cocoa	Milk	Sugar	Butter
Who discovered the law of gravity?	Newton	Kepler	Galileo	Copernicus
What is the capital of Egypt?	Cairo	Alexandria	Giza	Luxor
What is the chemical symbol for iron?	Fe	Ir	In	I
Who wrote 'Brave New World'?	Huxley	Orwell	Bradbury	Asimov
What is the largest mammal?	Blue Whale	Elephant	Giraffe	Hippopotamus
What is the capital of India?	Delhi	Mumbai	Kolkata	Chennai
What is the primary ingredient in gin?	Juniper	Grapes	Potatoes	Wheat
Who discovered radioactivity?	Curie	Einstein	Rutherford	Bohr
What is the most widely spoken language in the world?	Mandarin	English	Spanish	Hindi
Who painted 'The Scream'?	Munch	Dali	Picasso	Van Gogh
What is the chemical symbol for gold?	Au	Ag	Pb	Pt
What is the longest river in Africa?	Nile	Congo	Niger	Zambezi
Who invented the telephone?	Bell	Edison	Marconi	Tesla
What is the capital of Italy?	Rome	Milan	Florence	Venice
What is the main ingredient in beer?	Malt	Hops	Yeast	Water
Who wrote 'The Divine Comedy'?	Dante	Chaucer	Milton	Homer
What is the smallest ocean in the world?	Arctic	Indian	Atlantic	Southern
What is the capital of Japan?	Tokyo	Osaka	Kyoto	Hiroshima
Who discovered electricity?	Franklin	Tesla	Edison	Volta
What is the main ingredient in wine?	Grape	Apple	Pear	Plum
What is the largest country by area?	Russia	Canada	China	USA
Who wrote 'War and Peace'?	Tolstoy	Dostoevsky	Pushkin	Turgenev
What is the chemical symbol for silver?	Ag	Au	Al	As
What is the capital of China?	Beijing	Shanghai	Guangzhou	Shenzhen
What is the main ingredient in tea?	Tea	Water	Milk	Lemon
What is the longest river in North America?	Missouri	Mississippi	Colorado	Rio Grande
What is the capital of Spain?	Madrid	Barcelona	Valencia	Seville
Who discovered the circulation of blood?	Harvey	Jenner	Pasteur	Lister
What is the main ingredient in pizza?	Dough	Cheese	Tomato	Pepperoni
What is the tallest building in the world?	Burj Khalifa	Shanghai Tower	Abraj Al-Bait	One World Trade Center
Who wrote 'One Hundred Years of Solitude'?	Marquez	Borges	Neruda	Allende
What is the capital of South Korea?	Seoul	Busan	Incheon	Daegu
What is the largest moon of Saturn?	Titan	Rhea	Iapetus	Dione
What is the main ingredient in hummus?	Chickpea	Tahini	Olive Oil	Garlic
What is the capital of Mexico?	Mexico City	Guadalajara	Monterrey	Tijuana
Who discovered penicillin?	Fleming	Pasteur	Koch	Salk
What is the smallest planet in the solar system?	Mercury	Venus	Mars	Earth
What is the main ingredient in whiskey?	Grain	Water	Yeast	Sugar
Who wrote 'Moby Dick'?	Melville	Twain	Poe	Hawthorne
What is the largest planet in the solar system?	Jupiter	Saturn	Uranus	Neptune
What is the main ingredient in bread?	Flour	Yeast	Water	Salt
Who discovered the law of relativity?	Einstein	Newton	Hawking	Galileo
What is the capital of Australia?	Canberra	Sydney	Melbourne	Brisbane
What is the most common element in the universe?	Hydrogen	Oxygen	Helium	Carbon
What is the smallest bone in the human body?	Stapes	Incus	Malleus	Femur
What is the primary ingredient in vodka?	Potato	Wheat	Barley	Corn
Who directed "Avatar"?	Cameron	Spielberg	Nolan	Scott
What is the capital of Canada?	Ottawa	Toronto	Vancouver	Montreal
What is the smallest country in the world by area?	Vatican	Monaco	Nauru	Malta
Who wrote "To Kill a Mockingbird"?	Lee	Steinbeck	Fitzgerald	Hemingway
What is the main ingredient in guacamole?	Avocado	Tomato	Onion	Lemon
Who is the CEO of Apple Inc. as of 2021?	Cook	Jobs	Bezos	Musk
What is the tallest mountain in Africa?	Kilimanjaro	Mount Kenya	Rwenzori	Drakensberg
What is the chemical symbol for hydrogen?	H	He	Hg	O
Who painted "The Persistence of Memory"?	Dali	Picasso	Van Gogh	Monet
What is the longest river in Asia?	Yangtze	Yellow	Ganges	Mekong
Who directed "Inception"?	Nolan	Spielberg	Cameron	Tarantino
What is the main ingredient in ratatouille?	Eggplant	Tomato	Zucchini	Onion
What is the smallest continent by area?	Australia	Europe	Antarctica	South America
What is the main ingredient in miso soup?	Miso	Tofu	Seaweed	Rice
Who invented the telephone?	Bell	Edison	Tesla	Marconi
